concept_id	standard_concept	codeset	codes
N_c582	trauma	SNOMED-CT	 105606008, 105611005, 105612003, 105615001, 109301001, 109379000, 109746003, 109953003, 110014005, 110021005, 110025001, 110030002, 110093003, 110103009, 110108000, 110129009, 110131000, 110133002, 110134008, 110136005, 110138006, 110148008, 110150000, 110152008, 110157002, 110158007, 110161008, 110173008, 110190002, 110214003, 110222005, 110230006, 110260001, 111428002, 111451002, 111465000, 111613008, 111617009, 111689003, 111706003, 111707007, 111712008, 11437003, 11805005, 123534001, 123536004, 125587004, 125588009, 125589001, 125591009, 125592002, 125593007, 125594001, 125595000, 125596004, 125597008, 125598003, 125599006, 125600009, 125601008, 125602001, 125610000, 125643001, 125644007, 125665001, 125666000, 125667009, 12694001, 127275008, 127276009, 127278005, 127279002, 127296001, 127313006, 127347009, 12779007, 128069005, 128126004, 128221000, 128239009, 129136002, 129137006, 14918004, 14997005, 16319002, 16772000, 16950007, 172276003, 17414004, 19099008, 196152007, 198332009, 198837007, 19936001, 199993001, 201256000, 202974002, 205386003, 206191000, 206200000, 206233005, 206243008, 206247009, 206399009, 207794006, 207798009, 208078006, 208084009, 208097006, 209409002, 209450005, 209451009, 209557005, 209574005, 209657004, 209661005, 209668004, 209689008, 209698006, 209701003, 209715001, 209729000, 209730005, 209731009, 209732002, 209740008, 209743005, 209747006, 209799008, 209810003, 209827006, 209828001, 209829009, 209830004, 209942008, 209943003, 209944009, 209987007, 210051003, 210052005, 210060006, 210078001, 210205007, 210260000, 210360003, 210364007, 210365008, 210368005, 210370001, 210393007, 210404008, 210408006, 210422006, 210445000, 210446004, 210459007, 210463000, 210478007, 210479004, 21051006, 210535004, 210536003, 210632005, 210665002, 210679005, 210680008, 210703001, 210771000, 210782008, 210790008, 210811000, 210848009, 210985000, 210991003, 211024005, 211036004, 211037008, 211039006, 211041007, 211042000, 211051008, 211053006, 211104009, 211153009, 211186008, 211196004, 211249002, 211250002, 211256008, 211302003, 211306000, 211334007, 211336009, 211362000, 211537004, 211547001, 211548006, 211561006, 211595005, 211602009, 211609000, 211684007, 211691005, 211713002, 211719003, 211749001, 211766004, 211767008, 211828009, 211877001, 212239002, 212242008, 212248007, 212249004, 212285004, 212288002, 212296007, 212306002, 212307006, 212317001, 212334009, 212355006, 212357003, 212359000, 212399002, 212400009, 212421009, 212451003, 212456008, 212467009, 212469007, 212470008, 212471007, 212472000, 212473005, 212483009, 212486001, 212918003, 212920000, 212925005, 212926006, 212929004, 212930009, 212932001, 212933006, 212985008, 212986009, 213082003, 213196006, 213266005, 213269003, 213275007, 213368009, 213369001, 213370000, 213371001, 213373003, 213374009, 213375005, 213376006, 213383004, 213385006, 215550005, 215687008, 215697004, 215707002, 215717007, 215728006, 216222001, 21763005, 22095002, 22247000, 225916007, 230614002, 230626007, 230631009, 230633007, 230635000, 230650009, 23072002, 231879009, 231941003, 232029005, 234012008, 23406007, 234181008, 23470002, 235021001, 235768002, 23589004, 236098008, 23653003, 236757005, 237327008, 237329006, 237333004, 237339000, 237573009, 237660002, 238382001, 238458007, 238469005, 238480005, 238481009, 238483007, 238533000, 238536008, 239169007, 23957004, 240037007, 240127000, 240314005, 240880004, 241986003, 241989005, 241998008, 242004002, 242005001, 242007009, 242053002, 242085004, 242088002, 242114008, 242119003, 242124000, 242127007, 242141003, 242143000, 242149001, 242186000, 242651001, 242702008, 24578001, 246960009, 24803000, 248192000, 249219008, 253353007, 25358000, 262521009, 262522002, 262525000, 262526004, 262527008, 262528003, 262536007, 262547000, 262557004, 262560006, 262572000, 262573005, 262574004, 262575003, 262577006, 262581006, 262595009, 262626005, 262627001, 262630008, 262631007, 262635003, 262656001, 262660003, 262661004, 262683000, 262714007, 262715008, 262717000, 262749000, 262768002, 262774002, 262775001, 262777009, 262778004, 262782002, 262783007, 262788003, 262804006, 262830005, 262831009, 262833007, 262834001, 262835000, 262836004, 262922005, 262923000, 262937009, 262945004, 262951009, 262970004, 263000005, 263014005, 263017003, 263028004, 263126002, 263142009, 263143004, 263157002, 263166003, 263175001, 263257008, 263274008, 264506002, 264507006, 26528001, 266370006, 267268007, 267271004, 26746005, 269169002, 269209005, 269224001, 269251003, 269253000, 26947005, 269684007, 271107000, 271108005, 271109002, 271111006, 271118000, 271120002, 271121003, 271122005, 271126008, 271129001, 271174008, 271331002, 27158007, 271990007, 27215002, 27346001, 274164006, 274171001, 274174009, 274175005, 274179004, 274182009, 274184005, 274190009, 274197007, 274947007, 275320004, 275430007, 275451005, 275456000, 275461003, 276474004, 276528001, 277133002, 277187008, 277488009, 277489001, 28048009, 281538002, 281542004, 281546001, 281552000, 281554004, 281909008, 282007005, 282026002, 282446002, 282447006, 282448001, 282728007, 282745002, 282746001, 282749008, 282750008, 282751007, 282752000, 282754004, 282759009, 282764008, 282765009, 282766005, 282771003, 282783001, 283023000, 283024006, 283025007, 283031005, 283032003, 283033008, 283035001, 283036000, 283048002, 283049005, 283055000, 283057008, 283060001, 283062009, 283114001, 283115000, 283121001, 283132001, 283135004, 283189002, 283190006, 283192003, 283193008, 283194002, 283206004, 283207008, 283213004, 283229007, 283321007, 283330004, 283337001, 283355005, 283358007, 283364000, 283366003, 283375001, 283396008, 283397004, 283398009, 283400008, 283407006, 283409009, 283421008, 283422001, 283423006, 283425004, 283427007, 283428002, 283430000, 283431001, 283432008, 283438007, 283545005, 283574001, 283578003, 283651008, 283652001, 283653006, 283654000, 283666006, 283667002, 283682007, 283684008, 283685009, 283695002, 283698000, 283710000, 283711001, 283719004, 283789008, 283790004, 283800004, 283802007, 283814004, 283815003, 283817006, 283822006, 283841009, 283846004, 283847008, 283952004, 283972009, 283985007, 283998003, 283999006, 284000008, 284003005, 284005003, 284006002, 284186002, 284188001, 284190000, 284191001, 284194009, 284195005, 284196006, 284222008, 284225005, 284346004, 284476005, 284554003, 284571002, 284572009, 285391000, 285393002, 285394008, 285398006, 285602007, 285668009, 285670000, 285709007, 285710002, 285750004, 285751000, 285806007, 285808008, 285830009, 286547006, 286548001, 286613000, 287091008, 287132002, 287133007, 287139006, 287140008, 287154000, 288282003, 29440002, 30048004, 300927001, 302964004, 302965003, 304236004, 304286005, 307230004, 30742008, 307579008, 310639000, 312608009, 312646002, 312847008, 312972009, 314661000, 314662007, 32739008, 33072005, 33332005, 33931005, 34135005, 34262005, 34384008, 34813004, 35191005, 35655004, 360450007, 363182001, 363183006, 363226007, 363331007, 36787001, 370242002, 370977006, 371049006, 371052003, 371100002, 371128008, 37134004, 371712009, 373592004, 373595002, 3759007, 37645002, 37776001, 38354005, 38450002, 38484003, 385424001, 38951007, 38966005, 39131004, 39330008, 39400004, 39595001, 397180001, 397185006, 397752008, 397813008, 397952002, 397967003, 398019008, 398117008, 398313001, 39848009, 398878007, 399905001, 399943003, 399963005, 400012003, 400044004, 400181003, 400184006, 40135004, 402170008, 402181006, 403164008, 403166005, 403676009, 403677000, 403850006, 405236005, 405550001, 405551002, 405552009, 405553004, 405561009, 405692001, 405693006, 405698002, 405701005, 405703008, 407153006, 40762003, 409032006, 41335004, 413713006, 415651004, 416068009, 416462003, 416713004, 416886008, 416952000, 417227004, 41732004, 417713005, 41772008, 417746004, 418764009, 419945001, 42261000, 423234004, 424270008, 424867003, 425055008, 425265006, 425322008, 425359009, 42599006, 4260009, 426997005, 427828004, 428088000, 428152007, 428199000, 428220001, 428228008, 428434003, 428609006, 428780000, 428800008, 428860005, 428928001, 429061003, 429340002, 429417002, 429418007, 429433004, 430937009, 430974008, 431674004, 432618005, 43262000, 43337002, 438479005, 438480008, 438505003, 438771009, 439022003, 439108000, 439328007, 439889008, 440347004, 441886002, 443786003, 44863007, 46156007, 46866001, 47149005, 47222000, 47771009, 48125009, 48518008, 48532005, 49435000, 49454000, 49524007, 49615009, 4975008, 49897003, 50001009, 50008003, 50263004, 50657001, 50882004, 5166001, 51736007, 5202009, 52405000, 52949009, 53080007, 53506007, 54345007, 5529003, 55639004, 55849004, 56110009, 56372002, 56385004, 56472003, 56842001, 56906005, 57182000, 57662003, 58126003, 58189007, 5853003, 59038002, 59212007, 60190000, 6055000, 60713008, 61452007, 61951009, 62106007, 62564004, 62603000, 63043004, 63637002, 63785008, 63848007, 63942007, 63943002, 64229006, 64583005, 64831005, 64834002, 65354004, 65759007, 66371007, 6666006, 6733004, 67782005, 68058009, 68142008, 68152007, 6821004, 6825008, 68312001, 6836001, 68741008, 69178005, 69301007, 69531000, 6956001, 70000009, 70437005, 71816001, 72466000, 72998004, 73413009, 73590005, 73948007, 74026008, 74725000, 7523003, 75767000, 75769002, 76019006, 76127000, 76174009, 76844004, 77260003, 7739007, 77754004, 77940004, 78477003, 78757009, 78794000, 79077003, 79366000, 81102000, 81371004, 81405006, 81549005, 82271004, 83070001, 83094001, 83095000, 84063009, 84278006, 84677008, 84866000, 8513005, 85564003, 86175003, 8627007, 86704005, 87005006, 8748000, 87843005, 87900003, 88016001, 88744007, 89266005, 90460009, 90819008, 91012008, 91216000, 91325009, 91603007, 95306003, 9560007, 95817008, 95847005, 95857006, 95860004, 95861000, 95863002, 9665009, 9802006,2217001,2999009
N_c50	Alph-glucosidas inhibitors	RxNorm	 200132, 205329, 205330, 205331, 401938,199149,199150
N_c51	Amylin analogs	RxNorm	 200258, 311919, 314142, 389139, 861035, 861039, 861042, 861044, 861787, 861790,200256,200257
N_c54	Antidiabetic agents	RxNorm	 847910 , 847915,744863
N_c305	Antidiabetic-combinations	RxNorm	 602550, 647237, 647239, 706895, 706896, 861731, 861736, 861740, 861743, 861748, 861753, 861760, 861763, 861769, 861783, 861787, 861790, 861795, 861806, 861816, 861819, 861822,602544,602549
N_c438	Biguanides	RxNorm	 665042, 860975, 860978, 860981, 860984, 860996, 860999, 861004, 861007, 861010, 861021, 861025, 861731, 861736, 861740, 861743, 861748, 861753, 861760, 861763, 861769, 861783, 861787, 861790, 861795, 861806, 861816, 861819, 861822,665033,665038
N_c48	diabetes	ICD-10-CM	 E11.36, E11.9, E13, E13.32, E13.33, E13.34, E13.35, E13.43, O24.42,31,E10.36
N_c47	diabetes	ICD-9-CM	 250.00, 250.01, 250.02, 250.03, 250.10, 250.11, 250.12, 250.13, 250.20, 250.21, 250.22, 250.23, 250.30, 250.31, 250.32, 250.33, 250.4, 250.40, 250.41, 250.42, 250.43, 250.50, 250.51, 250.52, 250.53, 250.60, 250.61, 250.62, 250.63, 250.7, 250.70, 250.71, 250.72, 250.73, 250.8, 250.80, 250.81, 250.82, 250.83, 250.9, 250.90, 250.91, 250.92, 250.93, 357.2, 362.0, 362.01, 362.02, 362.03, 362.04, 362.05, 362.06, 362.07, 366.41, 648.0, 648.00, 648.01, 648.02, 648.03, 648.04,250,250.0
N_c49	diabetes	SNOMED-CT	 11530004, 123763000, 127013003, 127014009, 190321005, 190328004, 190330002, 190331003, 190336008, 190353001, 190361006, 190368000, 190369008, 190371008, 190372001, 190383005, 190389009, 190390000, 190392008, 190406000, 190407009, 190410002, 190411003, 190412005, 190416001, 190417004, 190418009, 190419001, 190422004, 193184006, 197605007, 198609003, 199223000, 199227004, 199229001, 199230006, 199231005, 199234002, 201250006, 201251005, 201252003, 23045005, 230572002, 230577008, 237599002, 237600004, 237601000, 237604008, 237613005, 237618001, 237619009, 237627000, 25907005, 26298008, 267379000, 267380002, 2751001, 275918005, 28032008, 28453007, 290002008, 309426007, 310387003, 311366001, 312912001, 313435000, 313436004, 314537004, 314771006, 314772004, 314893005, 314902007, 314903002, 33559001, 34140002, 359611005, 359638003, 359642000, 360546002, 371087003, 38542009, 39058009, 39181008, 408539000, 408540003, 413183008, 414890007, 414906009, 420414003, 420422005, 421750000, 421847006, 421895002, 422183001, 422228004, 422275004, 423263001, 424736006, 424989000, 425159004, 425442003, 426705001, 426875007, 427089005, 428896009, 42954008, 44054006, 4627003, 46635009, 50620007, 51002006, 5368009, 54181000, 57886004, 59079001, 5969009, 70694009, 73211009, 74263009, 75524006, 75682002, 76751001, 81531005, 81830002, 8801005, 91352004, 9859006,111552007,111558006
N_c547	Diabetic Retinopathy	ICD-10-CM	 E10.311, E10.319, E11.31, E11.311, E11.319, E11.32, E11.321, E11.329, E11.33, E11.331, E11.339, E11.34, E11.341, E11.349,E10.3,E10.31
N_c545	Diabetic Retinopathy	SNOMED-CT	 232020009, 232021008, 232022001, 232023006, 25093002, 25412000, 311782002, 312903003, 312904009, 312905005, 312906006, 312907002, 312908007, 312909004, 312912001, 314010006, 314011005, 314014002, 314015001, 390834004, 399625000, 399862001, 399863006, 399864000, 399865004, 399866003, 399868002, 399869005, 399870006, 399871005, 399872003, 399873008, 399874002, 399875001, 399876000, 399877009, 408409007, 408410002, 408411003, 408412005, 408413000, 408414006, 408415007, 408416008, 414892004, 414894003, 414908005, 414910007, 417677008, 420486006, 420789003, 421779007, 422034002, 4855003, 59276001, 62585004,193349004,193350004
N_c546	Diabetic Retinopathy	ICD-9-CM	 362.03, 362.04, 362.05, 362.06,362.01,362.02
N_c155	encounter outpatient - opthamological services	CPT	 92004, 92005, 92006, 92007, 92008, 92009, 92010, 92011, 92012, 92013, 92014,92002,92003
N_c393	eye exam	CPT	 67031, 67036, 67038, 67039, 67040, 67041, 67042, 67043, 67101, 67105, 67107, 67108, 67110, 67112, 67113, 67121, 67141, 67145, 67208, 67210, 67218, 67220, 67221, 67227, 67228, 92002, 92004, 92012, 92014, 92018, 92019, 92225, 92226, 92230, 92235, 92240, 92250, 92260,67028,67030
N_c307	eye exam	HCPCS	 S0625, S3000,S0620,S0621
N_c309	eye exam	ICD-9-CM	 14.3, 14.4, 14.5, 14.9, 95.02, 95.03, 95.04, 95.11, 95.12, 95.16, V72.0,14.1,14.2
N_c308	eye exam	SNOMED-CT	 390847009, 390855002,134395001,390735007
N_c67	gestational diabetes	ICD-10-CM	R73.02,R73.09
N_c66	gestational diabetes	ICD-9-CM	 648.81, 648.82, 648.83, 648.84,648.8,648.80
N_c70	gestational diabetes	SNOMED-CT	 420738003, 420989005, 421223006, 421389009, 421443003, 422155003, 46894009, 71546005, 75022004,11687002,420491007
N_c52	Insulin	RxNorm	 242120, 242916, 242917, 259111, 260265, 283394, 311040, 311041, 311053, 311054, 311055, 311056, 311057, 311058, 311059, 311060, 311061, 314038, 317800, 351297, 358349, 484322, 485210, 544614, 763002, 763007, 763013, 763014, 833159, 847191, 847207, 847211, 847230, 847239, 847252, 847259, 847263, 847416,205314,237527
N_c53	Meglitinides	RxNorm	 200258, 311919, 314142, 389139,200256,200257
N_c63	polycystic ovaries	ICD-10-CM	E28.2
N_c62	polycystic ovaries	ICD-9-CM	256.4
N_c69	polycystic ovaries	SNOMED-CT	69878008
N_c65	steroid induced diabetes	ICD-10-CM	 T38,E08,E10
N_c64	steroid induced diabetes	ICD-9-CM	 249.00, 249.01, 249.1, 249.10, 249.11, 249.2, 249.20, 249.21, 249.3, 249.30, 249.31, 249.4, 249.40, 249.41, 249.5, 249.50, 249.51, 249.6, 249.60, 249.61, 249.7, 249.70, 249.71, 249.8, 249.80, 249.81, 249.9, 249.90, 249.91, 251.8, 962.0,249,249.0
N_c68	steroid induced diabetes	SNOMED-CT	 53126001,190416008,190447002
N_c55	Sulfonylureas	RxNorm	 197306, 197307, 197495, 197496, 197737, 198291, 198292, 198293, 198294, 199245, 199246, 199247, 199825, 199984, 199985, 200065, 252960, 310488, 310489, 310490, 310534, 310536, 310537, 310539, 312440, 312441, 312859, 312860, 312861, 313418, 313419, 314000, 314006, 315107, 315239, 317573, 379804, 389137, 602544, 602549, 602550, 647237, 647239, 706895, 706896, 757710, 757712, 844809, 844824, 844827, 861731, 861736, 861740, 861743, 861748, 861753, 861760, 861763, 861783, 861795, 861806, 861816, 861822,105374,153842
N_c56	Thiazolidinediones	RxNorm	 312859, 312860, 312861, 317573,312440,312441
N_c311	foot exam	SNOMED-CT	 89521000, 91161007,401191002,80314008
N_c71	HbA1c test	CPT	83036,83037
N_c87	HbA1c test	LOINC	 4549-2,17856-6,4548-4
N_c88	HbA1c test	SNOMED-CT	 259689004, 259690008, 313835008, 33601001, 40402000, 408254005, 43396009,117346004,165680008
N_c202	ACE inhibitors	RxNorm	 197436, 197437, 197438, 197439, 197884, 197885, 197886, 197887, 198188, 198189, 199351, 199353, 199622, 199816, 199817, 205326, 251856, 251857, 261962, 308607, 308608, 308609, 308610, 308611, 308612, 308962, 308963, 308964, 310795, 310796, 310797, 310805, 310809, 311353, 311354, 311734, 311735, 312748, 312749, 312750, 313443, 313444, 313445, 313866, 314076, 314077, 314203, 314254, 317173, 349443, 389180, 389181, 401965, 401968, 833237, 845488, 854925, 854984, 854988, 854993, 857166, 857169, 857174, 857183, 857187, 858618, 858621, 858804, 858810, 858813, 858817, 858821, 858824, 858828, 858913, 858914, 858920, 858921, 858926, 858935, 858938,104370,153750
N_c203	Angiotension II inhibitors	RxNorm	 153823, 199850, 199919, 200094, 200095, 200096, 200284, 200285, 205304, 205305, 282755, 283316, 283317, 310139, 310140, 310792, 310793, 310794, 310802, 311379, 311380, 314073, 349199, 349200, 349201, 349353, 349373, 349401, 349405, 349483, 351292, 351293, 389185, 401971, 403853, 403854, 403855, 477130, 485471, 577776, 578325, 578330, 597400, 636042, 636045, 639536, 639537, 722126, 722131, 722134, 722137, 730861, 730866, 730869, 730872, 802749, 848131, 848135, 848140, 848145, 848151, 864775, 864985, 876514, 876519, 876524, 876529,153077,153822
N_c504	Antihypertensive combinations	RxNorm	 197436, 197437, 197438, 197439, 197885, 197887, 200284, 200285, 283316, 283317, 310140, 310792, 310793, 310794, 310795, 310796, 310797, 310802, 310805, 310809, 312748, 312749, 312750, 313443, 313444, 313445, 313866, 314203, 314254, 349353, 349443, 351292, 351293, 403853, 403854, 403855, 477130, 485471, 578325, 578330, 597400, 636042, 636045, 722126, 722131, 722134, 722137, 730861, 730866, 730869, 730872, 802749, 833237, 848131, 848135, 848140, 848145, 848151, 854993, 857166, 857174, 858618, 858621, 858821, 858824, 858828, 858913, 858935, 864775, 864985, 876514, 876519, 876524, 876529,104370,153750
N_c548	nephropathy	ICD-9-CM	 250.41, 250.42, 250.43, 403, 403.0, 403.00, 403.01, 403.1, 403.10, 403.11, 403.9, 403.90, 403.91, 404, 404.0, 404.00, 404.01, 404.02, 404.03, 404.1, 404.10, 404.11, 404.12, 404.13, 404.9, 404.90, 404.91, 404.92, 404.93, 405.01, 405.11, 405.91, 580, 580.0, 580.4, 580.8, 580.81, 580.89, 580.9, 581, 581.0, 581.1, 581.2, 581.3, 581.8, 581.81, 581.89, 581.9, 582, 582.0, 582.1, 582.2, 582.4, 582.8, 582.81, 582.89, 582.9, 583, 583.0, 583.1, 583.2, 583.4, 583.6, 583.7, 583.8, 583.81, 583.89, 583.9, 584, 584.5, 584.6, 584.7, 584.8, 584.9, 585, 585.1, 585.2, 585.3, 585.4, 585.5, 585.6, 585.9, 586, 587, 588, 588.0, 588.1, 588.8, 588.81, 588.89, 588.9, 753.0, 753.1, 753.10, 753.11, 753.12, 753.13, 753.14, 753.15, 753.16, 753.17, 753.19, 791.0, V42.0, V45.1, V45.11, V45.12, V56, V56.0, V56.1, V56.2, V56.3, V56.31, V56.32, V56.8,250.4,250.40
N_c574	nephropathy	ICD-10-CM	 G56.80, G56.81, G56.82, G56.9, G56.90, G56.91, G56.92, G57, G57.8, G57.80, G57.81, G57.82, G57.9, G57.90, G57.91, G57.92, G58, G58.0, G58.7, G58.8, G58.9, G59, G61, G61.0, G61.1, G61.8, G61.81, G61.89, G61.9, G62, G62.0, G62.9,G56,G56.8
N_c573	nephropathy	SNOMED-CT	 10123006, 102455002, 105999006, 106000008, 10697004, 10833000, 109477002, 11013005, 11026009, 110996009, 11109001, 111395007, 111403005, 111404004, 111406002, 111407006, 112066009, 11659006, 118951003, 123609007, 123610002, 123611003, 123612005, 123752003, 123753008, 123755001, 124147007, 126874009, 126880001, 126881002, 127013003, 12897005, 128996006, 129128006, 13010001, 13335004, 13530005, 13886001, 13889008, 14178006, 1426004, 14343001, 14669001, 14853005, 14973001, 15842009, 1592005, 16147005, 16297002, 16507009, 16652001, 16756008, 168041003, 16934004, 17121006, 17380002, 1776003, 17901006, 18417009, 187144000, 18796000, 188250002, 188251003, 19351000, 194774006, 194780003, 194781004, 197577008, 197589005, 197590001, 197591002, 197593004, 197594005, 197595006, 197596007, 197597003, 197598008, 197599000, 197600002, 197601003, 197603000, 197605007, 197606008, 197607004, 197627003, 197628008, 197629000, 197650009, 197659005, 197660000, 197661001, 197663003, 197664009, 197670003, 197671004, 197679002, 197688006, 197707007, 197708002, 197712008, 197738008, 197739000, 197752005, 197753000, 197801000, 197802007, 197813005, 197817006, 197820003, 198841006, 198842004, 198843009, 198844003, 198845002, 198846001, 198949009, 199110003, 199132007, 199134008, 199135009, 199136005, 199137001, 200117009, 200118004, 20341008, 20483002, 204938007, 204941003, 204942005, 204949001, 204950001, 204957003, 204962002, 204980006, 204984002, 204985001, 20917003, 210197003, 210207004, 210811000, 213231008, 21764004, 21952001, 22011005, 226309007, 22702000, 22846003, 230970001, 236367002, 236369004, 236374007, 236376009, 236377000, 236380004, 236381000, 236382007, 236383002, 236384008, 236385009, 236395002, 236402009, 236403004, 236404005, 236405006, 236406007, 236423003, 236424009, 236425005, 236428007, 236429004, 236430009, 236431008, 236432001, 236433006, 236434000, 236435004, 236436003, 236437007, 236438002, 236439005, 236441006, 236442004, 236443009, 236444003, 236445002, 236448000, 236452000, 236453005, 236454004, 236455003, 236456002, 236457006, 236460004, 236461000, 236463002, 236464008, 236467001, 236469003, 236470002, 236471003, 236472005, 236474006, 236475007, 236477004, 236478009, 236479001, 236480003, 236481004, 236482006, 236483001, 236484007, 236485008, 236486009, 236487000, 236488005, 236490006, 236491005, 236492003, 236493008, 236495001, 236498004, 236499007, 236500003, 236502006, 236503001, 236504007, 236505008, 236506009, 236507000, 236508005, 236511006, 236514003, 236515002, 236516001, 236517005, 236518000, 236519008, 236520002, 236521003, 236522005, 236523000, 236526008, 236527004, 236528009, 236530006, 236531005, 236532003, 236534002, 236535001, 236569000, 236570004, 236583003, 236584009, 236586006, 236587002, 236590008, 236592000, 236614007, 236708007, 236710009, 236713006, 23697004, 237230004, 23754003, 239932005, 240317003, 24790002, 253860008, 253862000, 253864004, 253865003, 253866002, 253867006, 253869009, 253872002, 253875000, 253876004, 253881008, 253883006, 253886003, 254914004, 254915003, 254916002, 254919009, 254920003, 254922006, 254923001, 254924007, 25646005, 25765006, 25821008, 26235008, 262612001, 262891006, 262893009, 262894003, 262900003, 26367008, 266549004, 266556005, 267430007, 268232000, 268234004, 268854008, 269257004, 269301005, 269489006, 270494003, 270517006, 271387005, 271432005, 27174002, 274401005, 275408006, 275510005, 276583007, 276584001, 276585000, 276586004, 276627004, 277010001, 277011002, 278531007, 28196006, 282348002, 282664001, 283905005, 28545001, 28770003, 288004005, 28918009, 289923007, 2900003, 298127003, 29908007, 30124006, 301814009, 302233006, 30275001, 302849000, 302910002, 302922004, 30295007, 307309005, 307532008, 307604008, 307618001, 309426007, 309785008, 31005002, 310387003, 311366001, 311496007, 32093003, 32278006, 32659003, 32916005, 3321001, 33561005, 33763006, 34165000, 35455006, 35546006, 359563005, 361146001, 361147005, 361264003, 36171008, 36184004, 36225005, 363224005, 363234001, 363287001, 363288006, 363518003, 36388008, 36402006, 36473002, 36568005, 36689008, 367540006, 36891003, 370488005, 370493008, 370494002, 371011007, 371019009, 371020003, 37133005, 37183000, 373421000, 373422007, 373584008, 373585009, 373599008, 37891007, 38481006, 39018007, 39291006, 39734002, 399094007, 399190000, 399340005, 40095003, 40233000, 40488004, 405573009, 405584002, 40894000, 41305006, 41729002, 41962002, 420279001, 421893009, 422593004, 423322005, 423533009, 423919000, 42399005, 42496002, 425369003, 425384007, 425414000, 425455002, 426136000, 427555000, 427649000, 428255004, 428720002, 4292005, 429224003, 42927005, 429489008, 430535006, 43064006, 431480000, 431501001, 431855005, 431856006, 431857002, 432294000, 432461000, 43258006, 433036004, 433144002, 433146000, 433229006, 43629001, 43738009, 438783006, 4390004, 439990003, 440018001, 441815006, 44323002, 4451004, 44513007, 44730006, 4495005, 45281005, 45456005, 45646000, 45743004, 4576001, 45812003, 45816000, 46177005, 46395002, 4676006, 48061001, 48631008, 48638002, 48655003, 48713002, 48796009, 49008000, 49220004, 49809007, 50581000, 50909009, 51055000, 51292008, 51677000, 52042003, 52254009, 52342006, 52777008, 52845002, 53378008, 53556002, 5397007, 54155004, 54181000, 54480007, 54781007, 54879000, 54967001, 55006001, 55536001, 55655006, 55856005, 56108007, 56346006, 57088004, 57469000, 5753006, 57557005, 57684003, 57965003, 58276006, 58574008, 58797008, 59400006, 59530001, 59758007, 59780005, 60989005, 6134000, 61474001, 61598006, 61680002, 61852001, 62216007, 62240004, 63510008, 64323009, 65127006, 65443008, 66993009, 67132008, 68815009, 69718008, 70092007, 71064009, 71110009, 71275003, 71909003, 72613009, 73030000, 73286009, 73305009, 74594005, 75030003, 75150001, 75652008, 75712001, 76224000, 76521009, 76910007, 7703001, 77186001, 7724006, 77624000, 77945009, 78209002, 78311009, 78544004, 79385002, 80902009, 81363003, 81896006, 81986001, 81987005, 8199003, 82525005, 83563007, 83850008, 83866005, 84121007, 8436004, 8468007, 85020001, 85487008, 85901000, 86210009, 86234004, 86235003, 86249007, 86463003, 86564006, 87571007, 88102009, 88380005, 88531004, 8964003, 8996006, 90241004, 90493000, 90688005, 90708001, 91003006, 92165001, 92624000, 92921005, 92975004, 93290000, 93425004, 94889006, 95444008, 95474000, 95568003, 95570007, 95571006, 95572004, 95575002, 95577005, 95578000, 95579008, 95580006, 95582003, 95889002, 9918001,193003,290006
N_c193	nephropathy screening	CPT	 82044, 84156,82042,82043
N_c192	nephropathy screening	LOINC	 13705-9, 13801-6, 14585-4, 14956-7, 14957-5, 14958-3, 14959-1, 1753-3, 1754-1, 1755-8, 1757-4, 18373-1, 20621-9, 21059-1, 21482-5, 26801-1, 27298-9, 2887-8, 2888-6, 2889-4, 2890-2, 30000-4, 30001-2, 30003-8, 32209-9, 32294-1, 32551-4, 34366-5, 35663-4, 40486-3, 40662-9, 40663-7, 43605-5, 43606-3, 43607-1, 44292-1, 47558-2, 49023-5, 50949-7, 53121-0, 53530-2, 53531-0, 53532-8, 9318-7,11218-5,12842-1
N_c194	nephropathy screening	SNOMED-CT	171234009
N_c638	nephropathy-related procedures	SNOMED-CT	 225230008, 225231007, 233575001, 233578004, 233581009, 233582002, 233583007, 233584001, 233585000, 233586004, 233587008, 233588003, 233589006, 233590002, 236434000, 236435004, 238318009, 238319001, 238321006, 238322004, 238323009, 265764009, 302497006, 34897002, 427053002, 428648006, 46177005, 57274006, 676002, 67970008, 68341005, 71192002, 73257006,11932001,14684005
N_c637	nephropathy-related procedures	ICD-10-CM	 Z49.01, Z49.02, Z49.3, Z49.31, Z49.32, Z99.2,Z49,Z49.0
N_c197	nephropathy-related procedures	CPT	 36810, 36815, 36818, 36819-36821, 36831, 36832, 36833, 50300, 50320, 50340, 50360, 50365, 50370, 50380, 90920, 90921, 90924, 90925, 90935, 90937, 90940, 90945, 90947, 90957, 90958, 90959, 90960, 90961, 90962, 90965, 90966, 90969, 90970, 90989, 90993, 90997, 90999, 99512,36145,36800
N_c198	nephropathy-related procedures	HCPCS	 G0315, G0316, G0317, G0318, G0319, G0322, G0323, G0326, G0327, G0392, G0393, S9339,G0257,G0314
N_c199	nephropathy-related procedures	ICD-9-CM	 39.42, 39.43, 39.53, 39.93, 39.94, 39.95, 54.98, 55.4, 55.5, 55.6,38.95,39.27
N_c195	urine macroalbumin	CPT	 81003, 81005,81000,81002
N_c196	urine macroalbumin	LOINC	 53525-2, 5804-0,20454-5,50561-0
N_c201	urine macroalbumin	SNOMED-CT	 71628007,127355002,274769005
